Region300	Event Town
오래된_광산_2층_출구	Old Mine 1st Floor Exit
오래된_광산_3층_입구	Old Mine 2nd Floor Entrance
오래된_광산_3층_출구	Old Mine 2nd Floor Exit
오래된_광산_입구	Old Mine Entrance
오래된_광산_출구	Old Mine Exit
오르하협곡	Oruha Canyon
오르하협곡 입구	Oruha Canyon Entrance
오선지대	Five Lines
오아실리안	Orsilian
오우거마을	Ogre Village
오크 요새	Orc Fortress
오크 요새 입구	Orc Fortress Entrance
오크 지역	Orc Zone
오크_요새	Orc Fortress
오크요새	Orc Fortress
오크지역	Orc Zone
올드캐빈	Old Cabin
와일드본 성전	Wild Bone Temple
와일드본_성전	Wild Bone Temple
완곡의 봉우리	Round Peak
왕의 다리	King's Bridge
왕의사냥터	King's Hunting Field
왕자의 사냥터	Prince's Hunting Field
용병마을	Warrior Village
용병사냥터	Dust Field
용암의 쉬라인	Lava Shrine
용암의 쉬라인 드래곤시온지역	Lava Shrine Dragonscion Zone
용암의 쉬라인 문엘프지역	Lava Shrine Moon Elf Zone
용암의 쉬라인 오크지역	Lava Shrine Orc Zone
용암의 쉬라인 외곽	Lava Shrine Outskirts
용암의 쉬라인 포탈(문엘프)	Lava Shrine(MoonElf)
용암의 쉬라인 포탈(시온)	Lava Shrine(Scion)
용암의 쉬라인 포탈(오크)	Lava Shrine(Orc)
용암의 쉬라인 포탈(휴먼)	Lava Shrine(Human)
용암의 쉬라인 휴먼지역	Lava Shrine Human Zone
용의 기둥	Dragon's Pillar
우더링	Wuthering
우르트람강	Urtram River
울림의 늪지	Quake Zone
원망의 방	Chamber of Grudge
원정대 천막촌	Expedition Camp Site
원정대의 길	Road of Expedition
원정대천막촌	Expedition Camp Site
원한의 입구	Gate of Grudge
원혼의 분지	Vengeful Basin
원혼의 분지입구	Vengeful Basin Entrance
윈드릴	Windrill
윈드릴 북쪽	Windrill Northern
윈드릴_북쪽	Windrill Northern
윈드릴의 동쪽 입구	Windrill Eastern Entrance
윈드릴의 서쪽 입구	Windrill Western Entrance
유리호수	Glass Lake
유폐된 광산 2층 입구	Abandoned Mine 1st Floor Entrance
유폐된 광산 2층 출구	Abandoned Mine 1st Floor Exit
유폐된 광산 3층 입구	Abandoned Mine 2nd Floor Entrance
유폐된 광산 3층 출구	Abandoned Mine 2nd Floor Exit
유폐된 광산 내부	Abandoned Mine Inside
유폐된 광산 입구	Abandoned Mine Entrance
유폐된 광산 출구	Abandoned Mine Exit
유폐된 광산1층	Abandoned Mine Ground Floor
유폐된 광산2층	Abandoned Mine 1st Floor
유폐된 광산3층	Abandoned Mine 2nd Floor
유폐된_광산1층	Abandoned Mine Ground Floor
유폐된_광산2층	Abandoned Mine 1st Floor
유폐된_광산3층	Abandoned Mine 2nd Floor
유폐된_광산_1층	Abandoned Mine Ground Floor
유폐된_광산_2층	Abandoned Mine 1st Floor
유폐된_광산_3층	Abandoned Mine 2nd Floor
유혹의 입구	Gate of Temptation
음악관	Music Hall
의식의 방	Hero's Reception
의식의_방	Hero's Reception
이름 없는 무덤 1층	Unmarked Grave Ground Floor
이름 없는 무덤 2층	Unmarked Grave 1st Floor
이름 없는 무덤 2층입구	Unmarked Grave 1st Floor Entrance
이름 없는 무덤 2층출구	Unmarked Grave 1st Floor Exit
이름 없는 무덤 3층	Unmarked Grave 2nd Floor
이름없는 무덤	Unmarked Grave
이름없는 무덤 1층	Unmarked Grave Ground Floor
이름없는 무덤 1층 입구	Unmarked Grave Ground Floor Entrance
이름없는 무덤 1층 출구	Unmarked Grave Ground Floor Exit
이름없는 무덤 2층	Unmarked Grave 1st Floor
이름없는 무덤 2층 입구	Unmarked Grave 1st Floor Entrance
이름없는 무덤 2층 출구	Unmarked Grave 1st Floor Exit
이름없는 무덤 3층	Unmarked Grave 2nd Floor
이름없는 무덤 3층 입구	Unmarked Grave 2nd Floor Entrance
이름없는 무덤 입구	Unmarked Grave Entrance
이름없는 무덤 출구	Unmarked Grave Exit
이름없는 자들의 방	Room of the Nameless Ones
이름없는_무덤	Unmarked Grave
이름없는_무덤_1층	Unmarked Grave Ground Floor
이름없는_무덤_1층_출구	Unmarked Grave Ground Floor Exit
이름없는_무덤_2층	Unmarked Grave 1st Floor
이름없는_무덤_2층_입구	Unmarked Grave 1st Floor Entrance
이름없는_무덤_2층_출구	Unmarked Grave 1st Floor Exit
이름없는_무덤_3층	Unmarked Grave 2nd Floor
이름없는_무덤_3층_입구	Unmarked Grave 2nd Floor Entrance
이름없는_무덤_3층_출구	Unmarked Grave 2nd Floor Exit
이름없는_무덤_입구	Unmarked Grave Entrance
이름없는_무덤_출구	Unmarked Grave Exit
인고의 방	Hero's Reception
인고의_방	Hero's Reception
인플레임 렌스피어 입구	Inflame Rensphere Entrance
인플레임 비밀의 던전	 Inflame Castle's Secret Dungeon
인플레임 비밀의 던전 입구	 Inflame Castle's Secret Dungeon
인플레임 성	Inflame Castle
인플레임 성 내부	Inflame Castle Inside
인플레임 성 성주 사냥터	Inflame Castle Secret Dungeon
인플레임 성 인근	Inflame Castle Vicinity
인플레임 성 입구	Inflame Castle Entrance
인플레임 성주 사냥터	Inflame Secret Dungeon
인플레임 성주 사냥터 입구	Inflame Secret Dungeon Entrance
인플레임 외성문	Inflame External Gate
인플레임_성	Inflame Castle
인플레임_성_인근	Inflame Castle Vicinity
인플레임_성주_사냥터	Inflame Secret Dungeon
인플레임_성주_사냥터_입구	Inflame Secret Dungeon Entrance
인플레임성 내부	Inflame Castle Inside
인플레임성 내성문	Inflame Castle Internal Gate
인플레임성_인근	Inflame Castle Vicinity
일출의 해변	Sunrise Beach
잊혀진 동굴	Forgotten Cave
잊혀진 무덤	Forgotten Grave
잊혀진 무덤 1층	Forgotten Grave Ground Floor
잊혀진 무덤 1층 입구	Forgotten Grave Ground Floor Entrance
잊혀진 무덤 1층 출구	Forgotten Grave Ground Floor Exit
잊혀진 무덤 2층	Forgotten Grave 1st Floor
잊혀진 무덤 2층 입구	Forgotten Grave 1st Floor Entrance
잊혀진 무덤 2층 출구	Forgotten Grave 1st Floor Exit
잊혀진 무덤 3층	Forgotten Grave 2nd Floor
잊혀진 무덤 3층 입구	Forgotten Grave 2nd Floor Entrance
잊혀진 무덤 입구	Forgotten Grave Entrance
잊혀진 무덤 출구	Forgotten Grave Exit
잊혀진 자들의 방	Chamber of the Forgotten
잊혀진_무덤	Forgotten Grave
잊혀진_무덤_1층	Forgotten Grave Ground Floor
잊혀진_무덤_1층_출구	Forgotten Grave Ground Floor Exit
잊혀진_무덤_2층	Forgotten Grave 1st Floor
잊혀진_무덤_2층_입구	Forgotten Grave 1st Floor Entrance
잊혀진_무덤_2층_출구	Forgotten Grave 1st Floor Exit
잊혀진_무덤_3층	Forgotten Grave 2nd Floor
잊혀진_무덤_3층_입구	Forgotten Grave 2nd Floor Entrance
잊혀진_무덤_입구	Forgotten Grave Entrance
잊혀진_무덤_출구	Forgotten Grave Exit
자객마을	Assassin Village
자무쉬의 봉인	Jamushi's Seal
자일록	Zylok
작열의 동굴 1층	Miasma Cave Ground Floor
작열의 동굴 1층 입구	Miasma Cave Ground Floor Entrance
작열의 동굴 1층 출구	Miasma Cave Ground Floor Exit
작열의 동굴 2층	Miasma Cave 1st Floor
작열의 동굴 2층 입구	Miasma Cave 1st Floor Entrance
작열의_동굴_1층	Miasma Cave Ground Floor
작열의_동굴_1층_입구	Miasma Cave Ground Floor Entrance
작열의_동굴_1층_출구	Miasma Cave Ground Floor Exit
작열의_동굴_2층	Miasma Cave 1st Floor
작열의_동굴_2층_입구	Miasma Cave 1st Floor Entrance
작열의_동굴_2층_출구	Miasma Cave 1st Floor Exit
저주의 계곡	Curse Valley
전사의 다리	Warrior's Bridge
전사의 평지	Warrior Plain
절규의 계곡	Valley of Screams
절규의 방	Chamber of Screams
절망의 탑	Tower of Despair
절망의_탑	Tower of Despair
정령의 쉬라인	Spirit Shrine
정령의 쉬라인 드래곤시온지역	Spirit Shrine Dragonscion Zone
정령의 쉬라인 문엘프지역	Spirit Shrine Moon Elf Zone
정령의 쉬라인 오크지역	Spirit Shrine Orc Zone
정령의 쉬라인 외곽	Spirit Shrine Outskirts
정령의 쉬라인 포탈(문엘프)	Spirit Shrine(MoonElf)
정령의 쉬라인 포탈(시온)	Spirit Shrine(Scion)
정령의 쉬라인 포탈(오크)	Spirit Shrine(Orc)
정령의 쉬라인 포탈(휴먼)	Spirit Shrine(Human)
정령의 쉬라인 휴먼지역	Spirit Shrine Human Zone
정령의 폭포	Elements Waterfall 
정원상층	Upper Garden
정원하층	Lower Garden
정찰자의 터	Scouter Site
젠클리어 남동부	Southeast Zenclier
젠클리어 남동쪽	Zenclier Southeast Area
젠클리어 남부	South Zenclier
젠클리어 남쪽	Zenclier Southern Area
젠클리어 동부	East Zenclier
젠클리어 동쪽	Zenclier Eastern Area
젠클리어 서부	West Zenclier
젠클리어 서쪽	Zenclier Western Area
젠클리어 중앙 동부	East Central Zenclier
젠클리어 중앙 동쪽	Zenclier East Central Area
젠클리어 중앙 서부	Central West Zenclier
젠클리어 중앙 서쪽	Zenclier West Central Area
젠클리어 폭포	Zenclier Waterfall
젠클리어_폭포	Zenclier Waterfall
젠틀리어 폭포	Zenclier Waterfall
좌절의 방	Chamber of Despair
죽은 앤트의 숲	Dead Arbor's Forest
죽은 자의 무덤 1층	Tomb of the Dead Ground Floor
죽은 자의 무덤 1층 출구	Tomb of the Dead Ground Floor Exit
죽은 자의 무덤 2층	Tomb of the Dead 1st Floor
죽은 자의 무덤 2층 입구	Tomb of the Dead 1st Floor Entrance
죽은 자의 무덤 2층 출구	Tomb of the Dead 1st Floor Exit
죽은 자의 무덤 3층	Tomb of the Dead 2nd Floor
죽은 자의 무덤 3층 입구	Tomb of the Dead 2nd Floor Entrance
죽은 자의 무덤 입구	Tomb of the Dead Entrance
죽은 자의 무덤 출구	Tomb of the Dead Exit
죽은_자의_무덤_1층_입구	Tomb of the Dead Ground Floor Entrance
죽은_자의_무덤_1층_출구	Tomb of the Dead Ground Floor Exit
죽은_자의_무덤_2층_입구	Tomb of the Dead 1st Floor Entrance
죽은_자의_무덤_2층_출구	Tomb of the Dead 1st Floor Exit
죽은_자의_무덤_3층_입구	Tomb of the Dead 2nd Floor Entrance
죽은_자의_무덤_3층_출구	Tomb of the Dead 2nd Floor Exit
죽은_자의_무덤_입구	Tomb of the Dead Entrance
죽은_자의_무덤_출구	Tomb of the Dead Exit
죽은자들의 방	Chamber of the Dead
죽은자의  무덤 1층	Tomb of the Dead Ground Floor
죽은자의 무덤	Tomb of the Dead
죽은자의 무덤 1층	Tomb of the Dead Ground Floor
죽은자의 무덤 1층 입구	Tomb of the Dead Ground Floor Entrance
죽은자의 무덤 1층 출구	Tomb of the Dead Ground Floor Exit
죽은자의 무덤 2층	Tomb of the Dead 1st Floor
죽은자의 무덤 2층 입구	Tomb of the Dead 1st Floor Entrance
죽은자의 무덤 3층	Tomb of the Dead 2nd Floor
죽은자의 무덤 3층 입구	Tomb of the Dead 2nd Floor Entrance
죽은자의 전장	Battleground of the Dead
죽은자의_무덤	Tomb of the Dead
죽은자의_무덤_1층	Tomb of the Dead Ground Floor
죽은자의_무덤_2층	Tomb of the Dead 1st Floor
죽은자의_무덤_3층	Tomb of the Dead 2nd Floor
죽은자의_전장	Battleground of the Dead
중립지역	Dead Zone
증오의 입구	Gate of Hatred
지하 감옥 1층	Dungeon 1F
지하 감옥 2층	Dungeon 2F
지하_감옥_1층	Dungeon 1F
지하_감옥_2층	Dungeon 2F
진혼사원	Soul Temple
질시의 방	Chamber of Jealousy
집시들의 옛터	Old Gypsy Town
집시촌	Gypsy Town
집착의 방	Chamber of Obsession
집착의_방	Chamber of Obsession
집착의_방2	2 Chamber of Obsession
참프로르 호수	Champor Lake
천문관측소	Astronomy Observatory
체스터 늪	Chester Swamp
초록음악지	Green Music Hall
추모자의 방	Memorial Chamber
추적자고원	Persuer Plateau
출전의 길	Path of Entry
침묵의숲	Silent Forest
카르마_관문	Karma Barrier
카르마관문	Karma Barrier
카이젠폭포	Kisen Waterfall
칸디아광산	Kandia Mine
칸트라 대륙	Chantra Continent
칼날 태풍 산맥	Blade Storm Mountain
칼날_태풍_산맥	Blade Storm Mountain
캐러번 로드	Karebun Road
캐러번_로드	Karebun Road
캐러번로드	Karebun Road
케이브타운	Cave Town
콘트라_하우스	Contra House
콘트라하우스	Contra House
쿤	Kuhn
퀄트천막촌	Qualt Camp
크랩터폰	Midok
크로우크로스	Crowcross
클라우드사원	Cloud Temple
타부토촌	Tabuto Village
타스의 숲	Tas Forest
탄식의 입구	Gate of Deplore
탈론 야드	Talon Yard
탈론_야드	Talon Yard
탈론야드	Talon Yard
탐욕의 무덤 2층 입구	Tomb of Greed 1st Floor Entrance
탐욕의 무덤 2층 출구	Tomb of Greed 1st Floor Exit
탐욕의 무덤 3층 입구	Tomb of Greed 2nd Floor Entrance
탐욕의 무덤 3층 출구	Tomb of Greed 2nd Floor Exit
탐욕의 무덤 내부	Tomb of Greed Inside
탐욕의 무덤 입구	Tomb of Greed Entrance
탐욕의 무덤 출구	Tomb of Greed Exit
탐욕의 무덤1층	Tomb of Greed Ground Floor
탐욕의 무덤2층	Tomb of Greed 1st Floor
탐욕의 무덤3층	Tomb of Greed 2nd Floor
탐욕의 문	Gate of Greed
탐욕의 문2	2 Gate of Greed
탐욕의 문3	3 Gate of Greed
탐욕의 문4	4 Gate of Greed
탐욕의 문5	5 Gate of Greed
탐욕의 문6	6 Gate of Greed
탐욕의_무덤1층	Tomb of Greed Ground Floor
탐욕의_무덤2층	Tomb of Greed 1st Floor
탐욕의_무덤3층	Tomb of Greed 2nd Floor
탐욕의_무덤_1층	Tomb of Greed Ground Floor
탐욕의_무덤_2층	Tomb of Greed 1st Floor
탐욕의_무덤_3층	Tomb of Greed 2nd Floor
탐욕의_문	Gate of Greed
탐욕의_문2	2 Gate of Greed
탐욕의_문3	3 Gate of Greed
탐욕의_문4	4 Gate of Greed
탐욕의_문5	5 Gate of Greed
탐욕의_문6	6 Gate of Greed
테라노아	Terranoa
테라노아 베틀게이트	Terranoa Battlegate
테라토가 산맥	Terratoga Mountains
토르 요새	Tor Fortress
토르_요새	Tor Fortress
토르요새	Tor Fortress
톤파	Tonfa
통곡의 방	Chamber of Wailing
통곡의_방	Chamber of Wailing
통곡의_방2	2 Chamber of Wailing
통곡의_방4	4 Chamber of Wailing
툴란	Tullan
툴란 광장	Tullan Square
툴란 길드 전투 경기장	Tullan Guild Battle Arena
툴란 남쪽 게이트	Tullan South Gate
툴란 동시가지	Tullan East Town
툴란 북쪽 게이트	Tullan North Gate
툴란 서시가지	Tullan West Town
툴란_길드_전투_경기장	Tullan Guild Battle Arena
트라이부츠	Triboots
트라쿠아 내부	Traqua Inside
트라쿠아 내성문	Traqua Internal Gate
트라쿠아 렌스피어 입구	Traqua Rensphere Entrance
트라쿠아 비밀의 던전	Traqua Castle's Secret Dungeon
트라쿠아 비밀의 던전 입구	Traqua Castle's Secret Dungeon
트라쿠아 성	Traqua Castle
트라쿠아 성 내부	Traqua Castle Inside
트라쿠아 성 성주 사냥터	Traqua Castle Secret Dungeon
트라쿠아 성 인근	Traqua Castle Vicinity
트라쿠아 성 진입로	Traqua approach
트라쿠아 성주 사냥터	Traqua Secret Dungeon
트라쿠아 성주 사냥터 입구	Traqua Secret Dungeon Entrance
트라쿠아 외성문	Traqua External Gate
트라쿠아 행 포탈	Portal bound for Traqua
트라쿠아_성	Traqua Castle
트라쿠아_성_인근	Traqua Castle Vicinity
트라쿠아_성주_사냥터	Traqua Secret Dungeon
트라쿠아_성주_사냥터_입구	Traqua Secret Dungeon Entrance
트레바인	Trebain
트레바인 남부	South Trebain
트레바인 상부	Upper Trebain
트레바인 하부	Lower Trebain
트릴가드	Trilgard
트릴가드 광장	Trilgard Square
트릴가드 궁	Trilgard palace
트릴가드 길드 전투 경기장	Trilgard Guild Battle Arena
트릴가드 남시가지	Trilgard South Town
트릴가드 북시가지	Trilgard North Town
트릴가드 행 포탈	Portal bound for Trilgard
트릴가드_길드_전투_경기장	Trilgard Guild Battle Arena
틴텔의 북	Tintel's Book
파도 사구	Wave Dune
파멸의 방	Chamber of Ruin
파멸의 입구	Gate of Ruin
파멸의_방	Chamber of Ruin
판다람고원	Pandaram Plateau
퍼피필드	Wasteland
포겔평원	Forgel Plains
포박의 방	Prison Chamber
포세이큰_둥지	Nest of the Forsaken
포세이큰의 둥지	Nest of the Forsaken
포스크랙	Poscrack
포츈로드	Fortune Road
포츈로드 동부	East Fortune Road
포츈로드 북부	North Fortune Road
폰 1층 입구	Asylum Ground Floor Entrance
폰 2층 입구	Asylum 1st Floor Entrance
폰 3층 입구	Asylum 2nd Floor Entrance
폰 아이젠하우스	Asylum
폰 아이젠하우스 1층 출구	Asylum Ground Floor Entrance
폰 아이젠하우스 2층	Asylum 1st Floor
폰 아이젠하우스 2층 입구	Asylum 1st Floor Entrance
폰 아이젠하우스 2층 출구	Asylum 1st Floor Exit
폰 아이젠하우스 3층	Asylum 2nd Floor
폰 아이젠하우스 3층 입구	Asylum 2nd Floor Entrance
폰 아이젠하우스 3층 출구	Asylum 2nd Floor Exit
폰 아이젠하우스 4층	Asylum 3rd Floor
폰 아이젠하우스 4층 입구	Asylum 3rd Floor Entrance
폰 아이젠하우스 입구	Asylum Ground Floor Entrance
폰 입구	Asylum Gate
폰 출구	Asylum Exit
폰_아이젠하우스	Asylum
폰_아이젠하우스2층_입구	Asylum 1st Floor Entrance
폰_아이젠하우스_2층	Asylum 1st Floor
폰_아이젠하우스_3층	Asylum 2nd Floor
폰_아이젠하우스_4층	Asylum 3rd Floor
폰_아이젠하우스_입구	Asylum Ground Floor Entrance
푸세이큰의_둥지	Nest of the Forsaken
피드밀	Feedmill
피의 늪	Blood Swamp
피의 산	Blood Mountain
피의 안식처	Blood Shelter
피의 제단	Blood Altar
피의_늪	Blood Swamp
피의_산	Blood Mountain
하얀숲	White Forest
하이드백	Hideback 
하이드백 마을	Hideback Village
하이드백_마을	Hideback Village
하이드백마을	Hideback Village
할리엔	Halien
행복한 묘지	Tomb of Tranquillity
헤븐즈 헬	Heaven's Hell
헤븐즈 헬의 옥좌	Throne of Heaven's Hell
헤븐즈_헬의_옥좌	Throne of Heaven's Hell
현기증 습지	Dizzy Swamp
현악의 땅	Jaztero
혼돈의 방	Chamber of Chaos
혼돈의 소로	Soro of Chaos
혼돈의 중심	Center of Chaos
혼돈의_중심	Center of Chaos
혼란의 입구	Gate of Chaos
화전민마을	Village of Seethe
화합의 회랑	Corridor of Harmony
화합의_회랑	Corridor of Harmony
환희의 길	Road of Joy
환희의 포자 지대	Spores of Joy
환희의_포자	Spores of Joy
황금의길	Gold Road
휴먼 요새	Human Fortress
휴먼 요새 입구	Human Fortress Entrance
휴먼 지역	Human Zone
휴먼_요새	Human Fortress
휴먼요새	Human Fortress
휴먼지역	Human Zone
휴식의 천막촌	Village of Rest
흉가주점	Haunted Inn
흐르는 모래 길	Sand Road
흐릿한 강변	Dull Riverbank
흡혈사막	Bloodsyphon Desert
